finding_id	severity	title	source_version	status	affected_surfaces	repair_summary	closure_condition
F-222-001	CRITICAL	JSON Schema metaschema invalidity	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Four schemas contained string-valued property schemas and six unescaped $ref spaces. Schemas normalized to valid Draft 2020-12 shapes; references URI-escaped.	SCHEMA_META_VALIDITY PASS
F-222-002	CRITICAL	Reference-index non-closure	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	153 declared references did not resolve. Missing historical projections restored; ambiguous node and test selectors made exact.	REFERENCE_INDEX_ROWS PASS
F-222-003	HIGH	Validation contract split	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Validation specification and receipt schema described different check sets. One check catalog now drives both specification and receipt schema.	VALIDATION_CONTRACT_IDENTITY PASS
F-222-004	HIGH	Four test-binding identifier mismatches	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Bindings used underscore or obsolete aliases absent from registry. Bindings point to canonical test identifiers.	TEST_BINDING_CLOSURE PASS
F-222-005	HIGH	No declared AI-human-memory substrate profile	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Core was substrate-aware but package lacked a complete runtime declaration for this target. Canonical runtime profile and machine projection added.	RUNTIME_PROFILE_COMPLETE PASS
F-222-006	HIGH	Foundation classes and dependencies not explicit enough	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Axiom, postulate, condition, theorem, norm and hypothesis remained distributed. Foundation classification and dependency DAG added without changing normative formulations.	FOUNDATION_DEPENDENCY_ACYCLIC PASS
F-222-007	MEDIUM	Development provenance not packaged	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Relevant dialogue history was available but not represented as bounded evidence. BOIS-only milestone projection and theory/practice map added.	PROVENANCE_BOUNDARY PASS
F-222-008	MEDIUM	Two-archive bootstrap no longer matches requested release transport	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	Prior package required split transport. Single passive-data archive envelope introduced while retaining normative v2.22 identity.	SINGLE_ARCHIVE_TRANSPORT PASS
F-222-009	MEDIUM	Registry tests declared but no execution receipt	2.22	CLOSED_IN_2.23	Derived machine-readable projections and release envelope	1,392 declarative tests were marked NOT_RUN. Static contract runner executed all registry entries and emitted per-test evidence.	FULL_STATIC_TEST_EXECUTION PASS
F-222-010	HIGH	Profile derivation references targeted undeclared PDF destinations	2.22	CLOSED_IN_2.23	assurance/JUSTIFICATION_GRAPH.json; assurance/BEHAVIOR_PROFILES.json	Nine profile nodes referenced PDF named destinations that do not exist. Canonical references now point to the exact profile records in the behavior-profile projection.	JUSTIFICATION_GRAPH_CLOSURE PASS
F-222-011	HIGH	Historical v2.21 finding migration entries were absent	2.22	CLOSED_IN_2.23	migration; repair/REPAIR_PLAN_v2.22.tsv	Nine declared MIG-222-FINDING identifiers had no rows. A dedicated passive migration projection now preserves each v2.21 finding-to-v2.22 repair transition.	PACKAGE_WIDE_REFERENCE_CLOSURE PASS
F-222-012	HIGH	Repair validation checks were typed as registry tests in reference reconstruction	2.22	CLOSED_IN_2.23	assurance/REFERENCE_INDEX.tsv; repair/REPAIR_PLAN_v2.22.tsv	Thirty-seven CHECK-F identifiers in regression and closure columns are now resolved as validation check identifiers rather than test-registry identifiers.	REFERENCE_INDEX_ROWS PASS
