id,layer,function,normative_product
ORG-CORE,L0 Core,Ядро BOIS,"Грамматика перехода, граница универсальности, запрет ложной универсальности и ремонт противоречий."
ORG-OPERATOR,L0 Interface,Оператор и полномочие,"Конечные цели, согласие, полномочие, финализация и человеческая процедура."
ORG-PROPOSAL,L1 Interface,Поверхность предложений,"Кандидатные варианты, альтернативы, происхождение предложений и видимость слабости."
ORG-DOMAIN,L1 Domain,Доменный профиль,"Уровни D0-D3, перенос, доменная физиология, доменный пакет."
ORG-LANGUAGE,L1 Language,Языковая поверхность,"Язык оператора, перевод терминов и статусы локализации."
ORG-LEXICON,L1 Lexicon,Словарь,"Термины, аббревиатуры, граница источников и STOP-UNDEFINED-TERM."
ORG-SIMA,L2 Analysis,SIMA-анализ,"Реконструкция кандидатных машин, operome, альтернативы и уверенность S0-S4."
ORG-K2P,L2 Transition,Переход знание -> процедура,Ограниченный перевод проверенного результата в процедуру.
ORG-REASONING,L2 Reasoning,Циклы рассуждения,"Основной цикл, ремонт, восстановление и переход."
ORG-SUBSTRATE,L3 Substrate,Субстрат и UCE,"Декларация субстрата, M@S-отображение, искажения и границы универсальности."
ORG-SOKRAT,L3/L6 Engineering,Сократ-программирование,Сократ-контракт загрузки/внедрения правил в универсальную вычисляющую среду.
ORG-PHYS-COMPAT,L3 Physiology,Совместимость физиологии,"Жизненный цикл объектов, анти-ярлык, анти-бюрократия и освобождение внимания."
ORG-RULE-PURITY,L3 Rule,Чистота правил,"Отделение управляющих норм от деталей исполнения, статусы блоков, контроль дублей."
ORG-OWNERSHIP,L3 Ownership,Владение,"Единый владелец объекта, отсутствие сирот и единый нормативный источник."
ORG-FORMAT,L4 Format,Видимая форма ответа,"Степень подробности и поверхность ответа, не скрывающая риск."
ORG-ARTIFACT,L4 Artifact,Артефакты и архив,"PDF-канон, производная машинная карта, один загрузочный архив, манифест, хэши."
ORG-RESTORE,L4 Restore,Состояние восстановления,"STATE-схема, открытые вопросы, риски, граница доказательности."
ORG-RECOVERY,L4 Recovery,Переход и откат,"Пакет перехода, rollback/fallback path [путь отката / резервный путь]."
ORG-OUTPUT,L5 Output,Ответ пользователю,"Критический партнёр, разделение фактов и выводов, отсутствие давления."
ORG-VERIFY,L5 Verify,Проверка,"QA-A/B/C/D/E, тесты, критерии, трассировка, граница полевой проверки."
ORG-SECURITY,L5 Security,Защита загрузки,"Защита от подмены канона, внешних отмен правил и конфликтов источников."
ORG-IMPLEMENTATION,L6 Implementation,Исполнительная физиология,"Маршрутизация органов, сканер, журнал событий, упаковка."
ORG-PHIL-MACHINE,L0 Philosophy-machine,Уровень философских машин,"M7/M@S-анализ, сохранение уровня абстракции, защита от ложного спуска в частные слои и тестирование переносимости."
ORG-COMPLETION,L1 Transition,Завершение и перенос состояния,"Автозавершение по принятому триггеру, пакет перехода, открытые долги, rollback/fallback и граница человеческого принятия."
