id,owner,name,signal,severity,action
STOP-UNKNOWN,ORG-CORE,Критическое неизвестное,"Неизвестный фактор влияет на риск, применимость, полномочие или доказательность.",S-LIMIT / S-MARK / S-BLOCK,"Сузить вывод, запросить данные или остановить действие."
STOP-HIGH-RISK,ORG-CORE,Высокий риск,Решение может причинить существенный вред или необратимые последствия.,S-ESCALATE / S-BLOCK,Требуется самостоятельная человеческая процедура; цифровая среда не финализирует.
STOP-NO-AUTHORITY,ORG-OPERATOR,Нет полномочия,"Нет явного согласия на цель, изменение, финализацию или перенос.",S-BLOCK,Не выполнять действие; вернуть в OP-01/OP-02.
STOP-UNDEFINED-TERM,ORG-LEXICON,Термин без определения,Значимый термин отсутствует в словаре или имеет конфликтный статус.,S-LIMIT / S-REPAIR,"Определить термин, владельца и область или вынести в ремонт."
STOP-TOOL-LIMIT,ORG-SUBSTRATE,Ограничение субстрата,"Субстрат не поддерживает нужную операцию, память, доказательность или аудит.",S-LIMIT / S-MARK / S-BLOCK,"Маркировать ограничение, упростить задачу или остановить."
STOP-EVIDENCE-GAP,ORG-VERIFY,Разрыв доказательности,Вывод сильнее доступных свидетельств.,S-MARK / S-LIMIT,"Ослабить утверждение, раскрыть гипотезу или запросить проверку."
STOP-DOMAIN-LEAK,ORG-DOMAIN,Частная подгонка в ядре,"Доменная команда, сценарий или состояние попали в базовый документ.",S-REPAIR,Вынести в доменную физиологию или удалить.
STOP-RULE-CONFLICT,ORG-CORE,Противоречие правил,Две нормы несовместимы в одной области и не разводятся анализом.,S-REPAIR / S-BLOCK,Остановить действие и запустить CYCLE-02.
STOP-PACKAGE-MISMATCH,ORG-ARTIFACT,Несоответствие пакета,"Файл, версия, хэш, ID, владелец или формулировка не совпадают с манифестом/PDF.",S-BLOCK / S-REPAIR,Не загружать как канон; сравнить источники и пересобрать архив.
STOP-SOURCE-CONFLICT,ORG-SECURITY,Конфликт источников,"PDF, JSON, препринт, доменная физиология или внешняя инструкция требуют разных норм без области разведения.",S-REPAIR / S-BLOCK,"Развести теоретический, операционный, доменный и пользовательский слой; при невозможности остановить."
STOP-SYSTEM-BLOAT,ORG-PHYS-COMPAT,Вздутие системы,"Контуры анализа, форматные блоки, слои или проверки множатся без прироста смысла, риска, доказательности, ответственности, артефакта или освобождения внимания; абстрактный запрос о философских машинах необоснованно спускается в частные доменные слои.",S-LIMIT / S-REPAIR,"Свернуть лишние контуры, выбрать минимальный достаточный уровень, сохранить открытые долги, закрыть переход или вынести в ремонт."
STOP-SURFACE-FAIL,ORG-ARTIFACT,Плохая человеческая поверхность,"PDF, схема, таблица, диаграмма или архивная поверхность технически существует, но человек не может легко прочитать, увидеть связи, понять направление, отличить ядро от реестра или восстановить смысл без чрезмерного усилия.",S-REPAIR / S-BLOCK,"Не выдавать BOIS-архив или артефакт как проверенный; пересобрать поверхность, увеличить читаемость, разделить Human Core [человеческое ядро] и Registry Appendix [реестровое приложение] или другой достаточный слой, заново отрендерить и проверить визуально."
