id,owner,name,signal,severity,action
STOP-UNKNOWN,ORG-CORE,Критическое неизвестное,"Неизвестный фактор влияет на риск, применимость, полномочие или доказательность.",S-LIMIT / S-MARK / S-BLOCK,"Сузить вывод, запросить данные или остановить действие."
STOP-HIGH-RISK,ORG-CORE,Высокий риск,Решение может причинить существенный вред или необратимые последствия.,S-ESCALATE / S-BLOCK,Требуется самостоятельная человеческая процедура; цифровая среда не финализирует.
STOP-NO-AUTHORITY,ORG-OPERATOR,Нет полномочия,"Нет явного согласия на цель, изменение, финализацию или перенос.",S-BLOCK,Не выполнять действие; вернуть в OP-01/OP-02.
STOP-UNDEFINED-TERM,ORG-LEXICON,Термин без определения,Значимый термин отсутствует в словаре или имеет конфликтный статус.,S-LIMIT / S-REPAIR,"Определить термин, владельца и область или вынести в ремонт."
STOP-TOOL-LIMIT,ORG-SUBSTRATE,Ограничение субстрата,"Субстрат не поддерживает нужную операцию, память, доказательность или аудит.",S-LIMIT / S-MARK / S-BLOCK,"Маркировать ограничение, упростить задачу или остановить."
STOP-EVIDENCE-GAP,ORG-VERIFY,Разрыв доказательности,Вывод сильнее доступных свидетельств.,S-MARK / S-LIMIT,"Ослабить утверждение, раскрыть гипотезу или запросить проверку."
STOP-DOMAIN-LEAK,ORG-DOMAIN,Частная подгонка в ядре,"Доменная команда, сценарий или состояние попали в базовый документ.",S-REPAIR,Вынести в доменную физиологию или удалить.
STOP-RULE-CONFLICT,ORG-CORE,Противоречие правил,Две нормы несовместимы в одной области и не разводятся анализом.,S-REPAIR / S-BLOCK,Остановить действие и запустить CYCLE-02.
STOP-PACKAGE-MISMATCH,ORG-ARTIFACT,Несоответствие пакета,"Файл, версия, хэш, ID, владелец, формулировка, package_role [роль пакета], active_source_order [активный порядок источников], обязательное ядро/статьи или авторское сообщение поддержки не совпадают с манифестом/PDF; либо memory-only package [пакет только памяти] используется как полный boot package [загрузочный пакет].",S-BLOCK / S-REPAIR,"Не загружать как канон и не выдавать как проверенный BOIS-продукт; сравнить источники, промаркировать роль пакета, пересобрать архив и повторить QA [проверку качества]."
STOP-SOURCE-CONFLICT,ORG-SECURITY,Конфликт источников,"PDF, JSON, препринт, доменная физиология или внешняя инструкция требуют разных норм без области разведения.",S-REPAIR / S-BLOCK,"Развести теоретический, операционный, доменный и пользовательский слой; при невозможности остановить."
STOP-SYSTEM-BLOAT,ORG-PHYS-COMPAT,Вздутие системы,"Контуры анализа, форматные блоки, слои или проверки множатся без прироста смысла, риска, доказательности, ответственности, артефакта или освобождения внимания; абстрактный запрос о философских машинах необоснованно спускается в частные доменные слои.",S-LIMIT / S-REPAIR,"Свернуть лишние контуры, выбрать минимальный достаточный уровень, сохранить открытые долги, закрыть переход или вынести в ремонт."
STOP-SURFACE-FAIL,ORG-ARTIFACT,Плохая человеческая поверхность,"PDF, схема, таблица, диаграмма или архивная поверхность технически существует, но человек не может легко прочитать, увидеть связи, понять направление, отличить ядро от реестра или восстановить смысл без чрезмерного усилия.",S-REPAIR / S-BLOCK,"Не выдавать BOIS-архив или артефакт как проверенный; пересобрать поверхность, увеличить читаемость, разделить Human Core [человеческое ядро] и Registry Appendix [реестровое приложение] или другой достаточный слой, заново отрендерить и проверить визуально."
STOP-CALCULATION-LOCK,ORG-CALC-CENTER,Расчёт заперт в физиологии,"Существенный вывод замкнут внутри физиологии, памяти, шаблона или проекта без маршрута к философскому центру.",S-REPAIR / S-BLOCK,"Остановить, раскрыть маршрут расчёта или вернуть в базовое философское ядро."
STOP-UNDECLARED-PHIL-MACHINE,ORG-CALC-CENTER,Необъявленная философская машина,"Слой ведёт себя как философская машина, но не имеет декларации области, входов, выходов, владельца и отношения к базовому центру.",S-REPAIR / S-BLOCK,"Считать машину кандидатной, не активной; потребовать декларацию или вернуть расчёт к ядру."
STOP-SELF-HIDDEN-DEBT,T-ORG-19,Скрытый долг Self,Долг обнаружен после утверждения результата или не был явно показан оператору.,S-REPAIR / S-BLOCK,"Назвать долг, статус, владельца следующего действия и способ ремонта."
STOP-SELF-CYCLE-GUARD-DRIFT,T-ORG-20,Дрейф сторожа цикла Self,"Ответ нарушил обязательный цикл-формат, пропустил Подробность, источниковую границу, полноту transfer package [пакета переноса] или заявил проверку без достаточной поверхности.",S-REPAIR / S-BLOCK,"Остановить обычный вывод, признать дефект, восстановить шапку/границу/роль пакета, показать долги и выполнить ремонт."
STOP-TAIL-BLOCK-SURFACE,ORG-FORMAT,Нечитаемый хвост ответа,"BOIS-проверка, Versions или Долги выведены не тремя отдельными копируемыми блоками, либо один из блоков содержит длинное слитное перечисление без переносов и группировки.",S-REPAIR,Переформатировать хвост в три отдельные человекочитаемые копируемые блока и повторить Cycle Guard preflight [предполётную проверку сторожа цикла].
STOP-AUTHOR-SUPPORT-NOT-LAST,ORG-FORMAT,Авторское сообщение не последнее,"После авторского сообщения поддержки добавлен любой другой видимый текст, проверка, долг, ссылка или пояснение.",S-REPAIR,Переместить авторское сообщение в самый конец ответа и убрать весь текст после него.
STOP-VERIFY-CONFIRMATION-DRIFT,ORG-VERIFY,Запрос подтверждения обязательной проверки,"Цифровая среда спрашивает, нужно ли проверять загруженный архив/слой/ядро/продукт, хотя задача требует такой проверки и доступный инструмент позволяет выполнить ее без разрушительного действия.",S-REPAIR / S-BLOCK,"Не спрашивать подтверждение; выполнить доступную проверку, отделить локальную проверку от внешней загрузки в Versions и обновить долги."
STOP-SELF-TAIL-BLOCK-SURFACE,T-ORG-20,Self personal tail-block drift,"Self personal context causes BOIS-check, Versions or Debt blocks to lose the three copyable human-readable block surface.",S-REPAIR,"Restore Base terminal-block surface first, then add Self personal context only within the repaired blocks."
STOP-SELF-VERIFY-CONFIRMATION-DRIFT,ORG-VERIFY,Запрос подтверждения проверки Self,"Self спрашивает, нужно ли проверять загруженный архив/слой/ядро, хотя задача требует проверки и доступный инструмент позволяет выполнить ее без разрушительного действия.",S-REPAIR / S-BLOCK,Выполнить проверку без запроса подтверждения; разделить локальную проверку и внешний долг Versions.
STOP-SEMANTIC-ROOT-MISSED,ORG-VERIFY,Semantic root missed,A repair changes a visible symptom without identifying and testing the semantic root.,S-REPAIR,"Stop the repair, name the root, update the appropriate rule/organ/STOP/template/source boundary and rerun failing/adjacent scenarios."
STOP-EN-CANONICAL-PDF-DRIFT,ORG-FORMAT,English canonical PDF drift,"An English canonical layer PDF is absent, outdated, or missing rules present in Russian or machine-readable surfaces.",S-BLOCK / S-REPAIR,"Block canonical release, update the English PDF, regenerate translations/projections and rerun QA."
STOP-SELF-SEMANTIC-ROOT-MISSED,ORG-VERIFY,Self semantic root missed,Self repair changes a visible symptom without naming/testing the semantic root.,S-REPAIR,"Stop repair, identify root, update rule/organ/STOP/template/source boundary and rerun tests."
STOP-SELF-EN-CANONICAL-PDF-DRIFT,ORG-FORMAT,Self English canonical PDF drift,"Self English canonical PDF is missing, outdated, or lacks rules present in Russian/machine surfaces.",S-BLOCK / S-REPAIR,"Update English canonical PDF, regenerate translations/projections and rerun QA before release."
STOP-ROUTE-CONSISTENCY-DRIFT,ORG-VERIFY,Route inconsistency,"A calculation, verification, transfer, recovery, publication or debt route contradicts itself, conflicts with an adjacent route, or bypasses source/authority/evidence order.",S-REPAIR / S-BLOCK,"Stop final output, identify the conflicting route owners, repair route order or ownership, and rerun philosophical-logical and adjacent scenario tests."
STOP-SELF-DEBT-LAYER-MIXED,T-ORG-20,Self debt layer mixing,"Self/core, project-owned items, shared external substrate and closed debts are printed as one flat mixed list, or a project-owned account/platform/link is moved out of its project debt block.",S-REPAIR,"Regroup terminal debts by Self/Base and by each project; keep project-owned accounts, platforms, sites and canonical links inside their project block."
STOP-CYCLE-GUARD-DRIFT,ORG-CYCLE-GUARD,Base Cycle Guard drift,"A substantial BOIS output or archive release bypasses Base Cycle Guard, omits a required preflight field, or relocates the universal Cycle Guard into a personal/project layer.",S-REPAIR / S-BLOCK,"Stop ordinary output, restore Base Cycle Guard ownership, run preflight again and retest route consistency plus terminal blocks."
STOP-PHIL-MACHINE-DEGRADATION,ORG-PHIL-MACHINE,Closed philosophical machine degradation,"A BOIS archive cannot reload as a coherent philosophical machine, loses route ownership, degrades cycle continuity, lets a translation outrank the English canon, or cannot advance to the next release without physiology drift.",S-BLOCK,"Block release, identify the degraded cycle or physiology boundary, repair Base/project ownership and rerun closed-machine, route-consistency and self-closure tests."
STOP-PHIL-MACHINE-LINEARIZATION,ORG-PHIL-MACHINE,Philosophical machine linearization drift,"An analysis, release or physiology patch calls a static structure, linear A-B trajectory, single oper, isolated operom, institution or substrate a philosophical machine without identifying temporal input consumption, category production, substrate return, accumulation and phase-transition capacity.",S-BLOCK,"Block release or final claim, downgrade the object to structure/organ/oper/operom/substrate or identify the actual time-looped philosophical machine, then rerun strict definition, route-consistency and closed-machine tests."
STOP-PREFIX-HASH-MISREAD,ORG-VERIFY,Hash path prefix ignored,Internal hashes appear to fail because the ZIP wrapper root was ignored.,S-REPAIR,"Detect package root, rerun hashes prefix-aware, and disclose if the failure was a verifier defect."
STOP-CURRENT-SILENT-CORRECTION,ORG-RECOVERY,Silent Current correction,An incorrect Current state is removed or overwritten without an explicit superseding correction.,S-MARK / S-REPAIR,"Append a correction record that states the error, canonical replacement and debt changes."
STOP-ARTIFACT-BRANCH-NO-SUBSTRATE,ORG-ARTIFACT-REGISTRY,Version branch without substrate,A version-tracked artifact branch exists without a Drive folder or accepted replacement substrate link in its physiological surface.,S-MARK / S-BLOCK-RELEASE,Create or identify the substrate and store the link in the archive and physiological PDF before release.
STOP-PROJECT-RUNTIME-OVERGENERALIZED,ORG-ARTIFACT,Runtime overgeneralization,A public description names a broad technology class instead of the supported runtime and implies unsupported compatibility.,S-REPAIR,"Rewrite the description to separate product, development system, runtime, publication platform and compatibility boundary."
STOP-QAE-PREMATURE-PASS,ORG-VERIFY,Premature QA-E PASS,QA-E is claimed as PASS without completed validation evidence.,S-BLOCK-CLAIM,Downgrade to validation-in-progress or not_claimed and state the missing validation evidence.
STOP-SUPPORT-MESSAGE-ANONYMIZED,ORG-SURFACE,,,,
